BATCH COMPILATION SUMMARY
================================================================================
Total Time: 4937.5 seconds (82.3 minutes)
Vendors Processed: 353
================================================================================

Vendor               Compiled   Failed     Time       Status
--------------------------------------------------------------------------------
2n                   1          0          0.9        ✓
3com                 0          0          0.3        ✓
4rf                  0          7          4.1        ✗
a10                  2          0          3.1        ✓
abb                  0          1          0.9        ✗
accedian             15         0          10.0       ✓
adic                 0          0          0.3        ✓
adtran               32         0          26.0       ✓
adva                 38         8          144.6      ✗
advantech            2          0          2.0        ✓
aerohive             3          1          3.4        ✗
airport              1          0          1.1        ✓
akcp                 0          0          0.3        ✓
alcatel              3          0          2.6        ✓
alcoma               1          0          1.1        ✓
algcom               2          0          1.8        ✓
allied               31         1          26.8       ✗
alpha                4          0          2.9        ✓
alpineoe             3          0          2.4        ✓
alteonos             0          1          1.0        ✗
alvarion             1          1          1.2        ✗
apc                  0          0          0.2        ✓
arbornet             0          4          2.0        ✗
arista               6          0          6.7        ✓
arraynetworks        1          0          0.9        ✓
arris                21         22         41.8       ✗
arubaos              17         6          19.7       ✗
arubaos-cx           32         0          33.5       ✓
ascom                1          0          1.6        ✓
asentria             6          0          5.5        ✓
aten                 0          0          0.2        ✓
ats                  0          0          0.2        ✓
audiocodes           10         21         20.1       ✗
avaya                5          0          5.6        ✓
aviat-wtm            0          0          0.3        ✓
avocent              2          0          2.6        ✓
avtech               12         0          8.8        ✓
awplus               34         0          24.8       ✓
axis                 2          0          1.5        ✓
baicells             0          1          0.7        ✗
barco                1          0          0.8        ✓
barracuda            3          0          1.9        ✓
bats                 1          0          0.9        ✓
bdcom                4          7          7.7        ✗
benuos               17         0          16.6       ✓
bintec               0          3          3.2        ✗
bison                0          1          0.7        ✗
bke                  1          0          1.3        ✓
bktel                2          0          1.7        ✓
bladeshelter         1          0          1.2        ✓
bluecatnetworks      10         0          10.0       ✓
bluecoat             14         0          11.4       ✓
broadworks           4          0          2.9        ✓
brocade              31         3          47.6       ✗
brother              1          0          1.7        ✓
bti                  3          0          5.5        ✓
calix                20         11         44.2       ✗
cambium              15         2          16.4       ✗
carel                4          0          3.5        ✓
ccpower              0          0          0.2        ✓
cdata                17         8          21.9       ✗
ceraos               1          1          5.4        ✗
cet                  1          0          1.4        ✓
chatsworth           0          1          0.9        ✗
checkpoint           1          0          1.2        ✓
ciena                66         7          65.2       ✗
cirpack              0          1          0.6        ✗
cisco                218        18         310.8      ✗
citrix               2          2          2.7        ✗
comet                1          0          1.1        ✓
comtrol              0          1          0.8        ✗
comware              169        13         171.1      ✗
controlbox           1          0          1.0        ✓
corero               6          0          4.2        ✓
cradlepoint          1          0          1.0        ✓
ctm                  1          1          1.5        ✗
cts                  2          4          4.9        ✗
cumulus              2          0          3.2        ✓
cxr-networks         0          1          1.5        ✗
cyberoam             0          1          0.6        ✗
cyberpower           1          0          1.4        ✓
dahua                0          1          0.7        ✗
dantel               1          0          1.0        ✓
dantherm             1          0          1.1        ✓
dasan                57         22         83.5       ✗
dataaire             0          1          0.7        ✗
datacom              3          0          6.0        ✓
datadomain           0          0          0.2        ✓
dataprobe            1          0          0.8        ✓
dcn                  0          1          0.7        ✗
ddn                  1          0          1.0        ✓
